timestamp,department,usage_kwh,day_of_week,hour,is_weekend
2024-01-01 00:00:00,IT,45.2,Monday,0,0
2024-01-01 01:00:00,IT,42.1,Monday,1,0
2024-01-01 02:00:00,IT,40.5,Monday,2,0
2024-01-01 03:00:00,IT,39.8,Monday,3,0
2024-01-01 04:00:00,IT,38.9,Monday,4,0
2024-01-01 05:00:00,IT,41.2,Monday,5,0
2024-01-01 06:00:00,IT,52.3,Monday,6,0
2024-01-01 07:00:00,IT,68.5,Monday,7,0
2024-01-01 08:00:00,IT,89.7,Monday,8,0
2024-01-01 09:00:00,IT,125.4,Monday,9,0
2024-01-01 10:00:00,IT,142.8,Monday,10,0
2024-01-01 11:00:00,IT,156.3,Monday,11,0
2024-01-01 12:00:00,IT,148.9,Monday,12,0
2024-01-01 13:00:00,IT,162.5,Monday,13,0
2024-01-01 14:00:00,IT,178.2,Monday,14,0
2024-01-01 15:00:00,IT,185.6,Monday,15,0
2024-01-01 16:00:00,IT,172.3,Monday,16,0
2024-01-01 17:00:00,IT,145.8,Monday,17,0
2024-01-01 18:00:00,IT,98.4,Monday,18,0
2024-01-01 19:00:00,IT,76.5,Monday,19,0
2024-01-01 20:00:00,IT,65.2,Monday,20,0
2024-01-01 21:00:00,IT,58.7,Monday,21,0
2024-01-01 22:00:00,IT,52.3,Monday,22,0
2024-01-01 23:00:00,IT,48.9,Monday,23,0
2024-01-02 00:00:00,HR,32.5,Tuesday,0,0
2024-01-02 01:00:00,HR,30.2,Tuesday,1,0
2024-01-02 02:00:00,HR,29.8,Tuesday,2,0
2024-01-02 03:00:00,HR,28.9,Tuesday,3,0
2024-01-02 04:00:00,HR,28.5,Tuesday,4,0
2024-01-02 05:00:00,HR,31.2,Tuesday,5,0
2024-01-02 06:00:00,HR,38.9,Tuesday,6,0
2024-01-02 07:00:00,HR,52.4,Tuesday,7,0
2024-01-02 08:00:00,HR,72.8,Tuesday,8,0
2024-01-02 09:00:00,HR,95.6,Tuesday,9,0
2024-01-02 10:00:00,HR,108.3,Tuesday,10,0
2024-01-02 11:00:00,HR,115.7,Tuesday,11,0
2024-01-02 12:00:00,HR,102.4,Tuesday,12,0
2024-01-02 13:00:00,HR,118.9,Tuesday,13,0
2024-01-02 14:00:00,HR,128.5,Tuesday,14,0
2024-01-02 15:00:00,HR,132.6,Tuesday,15,0
2024-01-02 16:00:00,HR,119.8,Tuesday,16,0
2024-01-02 17:00:00,HR,98.5,Tuesday,17,0
2024-01-02 18:00:00,HR,68.9,Tuesday,18,0
2024-01-02 19:00:00,HR,52.3,Tuesday,19,0
2024-01-02 20:00:00,HR,45.8,Tuesday,20,0
2024-01-02 21:00:00,HR,42.1,Tuesday,21,0
2024-01-02 22:00:00,HR,38.5,Tuesday,22,0
2024-01-02 23:00:00,HR,35.2,Tuesday,23,0
2024-01-03 00:00:00,Finance,38.7,Wednesday,0,0
2024-01-03 01:00:00,Finance,36.4,Wednesday,1,0
2024-01-03 02:00:00,Finance,35.1,Wednesday,2,0
2024-01-03 03:00:00,Finance,34.2,Wednesday,3,0
2024-01-03 04:00:00,Finance,33.8,Wednesday,4,0
2024-01-03 05:00:00,Finance,36.5,Wednesday,5,0
2024-01-03 06:00:00,Finance,45.2,Wednesday,6,0
2024-01-03 07:00:00,Finance,61.8,Wednesday,7,0
2024-01-03 08:00:00,Finance,85.3,Wednesday,8,0
2024-01-03 09:00:00,Finance,112.5,Wednesday,9,0
2024-01-03 10:00:00,Finance,128.9,Wednesday,10,0
2024-01-03 11:00:00,Finance,138.4,Wednesday,11,0
2024-01-03 12:00:00,Finance,125.7,Wednesday,12,0
2024-01-03 13:00:00,Finance,142.3,Wednesday,13,0
2024-01-03 14:00:00,Finance,155.8,Wednesday,14,0
2024-01-03 15:00:00,Finance,162.4,Wednesday,15,0
2024-01-03 16:00:00,Finance,148.6,Wednesday,16,0
2024-01-03 17:00:00,Finance,122.9,Wednesday,17,0
2024-01-03 18:00:00,Finance,82.5,Wednesday,18,0
2024-01-03 19:00:00,Finance,64.8,Wednesday,19,0
2024-01-03 20:00:00,Finance,55.3,Wednesday,20,0
2024-01-03 21:00:00,Finance,49.8,Wednesday,21,0
2024-01-03 22:00:00,Finance,44.2,Wednesday,22,0
2024-01-03 23:00:00,Finance,40.5,Wednesday,23,0
2024-01-04 00:00:00,Operations,52.3,Thursday,0,0
2024-01-04 01:00:00,Operations,49.8,Thursday,1,0
2024-01-04 02:00:00,Operations,48.2,Thursday,2,0
2024-01-04 03:00:00,Operations,47.1,Thursday,3,0
2024-01-04 04:00:00,Operations,46.5,Thursday,4,0
2024-01-04 05:00:00,Operations,49.8,Thursday,5,0
2024-01-04 06:00:00,Operations,61.5,Thursday,6,0
2024-01-04 07:00:00,Operations,82.4,Thursday,7,0
2024-01-04 08:00:00,Operations,108.9,Thursday,8,0
2024-01-04 09:00:00,Operations,142.3,Thursday,9,0
2024-01-04 10:00:00,Operations,165.8,Thursday,10,0
2024-01-04 11:00:00,Operations,178.4,Thursday,11,0
